Date,Product,Market,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Type
2024-06-14,Aso Oke,Oja Oba,9,15000,135000,POS,Osogbo
2024-07-18,Lace Material,Oke Baale,8,12000,96000,Transfer,Osogbo
2024-04-21,Adire Fabric,Orisumbare,10,8000,80000,POS,Osogbo
2024-05-26,Aso Oke,Oke Baale,1,15000,15000,Transfer,Lagos
2024-02-14,Adire Fabric,Oke Baale,2,8000,16000,Transfer,Sokoto
2024-02-21,Aso Oke,Orisumbare,14,15000,210000,USSD,Osogbo
2024-03-26,Lace Material,Alekuwodo,7,12000,84000,Cash,Ibadan
2024-02-15,Adire Gown,Orisumbare,4,25000,100000,POS,Lagos
2024-04-15,Adire Fabric,Oke Baale,9,8000,72000,Transfer,Lagos
2024-03-13,Lace Material,Alekuwodo,12,12000,144000,Cash,Lagos
2024-08-16,Aso Oke,Oke Baale,4,15000,60000,Transfer,Sokoto
2024-01-20,Ankara,Oke Baale,8,5000,40000,Transfer,Sokoto
2024-07-19,Ankara,Alekuwodo,7,5000,35000,POS,Ibadan
2024-04-26,Ankara,Orisumbare,9,5000,45000,Transfer,Ibadan
2024-05-18,Lace Material,Oja Oba,5,12000,60000,POS,Lagos
2024-08-10,Aso Oke,Oke Baale,4,15000,60000,USSD,Lagos
2024-04-15,Adire Fabric,Oke Baale,8,8000,64000,USSD,Osogbo
2024-01-12,Aso Oke,Oja Oba,14,15000,210000,Transfer,Osogbo
2024-06-12,Ankara,Oke Baale,2,5000,10000,Transfer,Sokoto
2024-04-10,Lace Material,Orisumbare,1,12000,12000,Transfer,Ibadan
2024-08-17,Lace Material,Alekuwodo,8,12000,96000,POS,Sokoto
2024-03-23,Adire Fabric,Orisumbare,12,8000,96000,Cash,Osogbo
2024-06-17,Adire Gown,Alekuwodo,3,25000,75000,POS,Osogbo
2024-01-24,Adire Gown,Oke Baale,14,25000,350000,Transfer,Sokoto
2024-08-13,Lace Material,Alekuwodo,13,12000,156000,USSD,Sokoto
2024-04-23,Adire Fabric,Oja Oba,12,8000,96000,Cash,Lagos
2024-05-26,Lace Material,Orisumbare,9,12000,108000,Transfer,Lagos
2024-01-10,Aso Oke,Oke Baale,12,15000,180000,POS,Ibadan
2024-02-12,Ankara,Oke Baale,9,5000,45000,Cash,Ibadan
2024-06-11,Ankara,Alekuwodo,15,5000,75000,POS,Osogbo
2024-01-17,Ankara,Oja Oba,10,5000,50000,Transfer,Lagos
2024-07-12,Adire Gown,Orisumbare,10,25000,250000,Transfer,Ibadan
2024-02-16,Adire Gown,Oja Oba,12,25000,300000,USSD,Sokoto
2024-08-23,Lace Material,Oke Baale,1,12000,12000,Cash,Ibadan
2024-07-11,Aso Oke,Orisumbare,7,15000,105000,USSD,Lagos
2024-02-26,Aso Oke,Oke Baale,9,15000,135000,Cash,Osogbo
2024-05-10,Aso Oke,Oke Baale,12,15000,180000,Transfer,Ibadan
2024-05-16,Lace Material,Oke Baale,12,12000,144000,Cash,Sokoto
2024-07-12,Lace Material,Alekuwodo,14,12000,168000,USSD,Ibadan
2024-04-19,Adire Gown,Orisumbare,2,25000,50000,POS,Sokoto
2024-02-14,Aso Oke,Orisumbare,12,15000,180000,Transfer,Osogbo
2024-05-10,Adire Fabric,Orisumbare,12,8000,96000,Cash,Sokoto
2024-06-25,Ankara,Oja Oba,14,5000,70000,USSD,Sokoto
2024-08-16,Adire Gown,Oke Baale,1,25000,25000,POS,Sokoto
2024-03-21,Adire Gown,Orisumbare,7,25000,175000,USSD,Lagos
2024-01-23,Adire Gown,Oke Baale,6,25000,150000,Transfer,Lagos
2024-06-14,Adire Fabric,Oke Baale,14,8000,112000,USSD,Osogbo
2024-07-13,Ankara,Oja Oba,5,5000,25000,Cash,Osogbo
2024-02-19,Adire Gown,Orisumbare,7,25000,175000,Transfer,Ibadan
2024-07-19,Ankara,Orisumbare,4,5000,20000,POS,Osogbo
2024-05-22,Adire Fabric,Oke Baale,8,8000,64000,USSD,Ibadan
2024-04-21,Ankara,Orisumbare,1,5000,5000,POS,Ibadan
2024-05-20,Adire Fabric,Oja Oba,1,8000,8000,USSD,Lagos
2024-08-19,Adire Fabric,Alekuwodo,1,8000,8000,USSD,Sokoto
2024-07-23,Adire Gown,Orisumbare,12,25000,300000,Transfer,Lagos
2024-07-26,Ankara,Orisumbare,3,5000,15000,USSD,Sokoto
2024-02-11,Ankara,Alekuwodo,10,5000,50000,Transfer,Lagos
2024-05-27,Lace Material,Oja Oba,10,12000,120000,POS,Sokoto
2024-05-13,Lace Material,Orisumbare,9,12000,108000,Transfer,Sokoto
2024-03-25,Aso Oke,Oke Baale,1,15000,15000,Cash,Sokoto
2024-01-22,Adire Gown,Alekuwodo,12,25000,300000,Transfer,Lagos
2024-01-26,Adire Fabric,Orisumbare,14,8000,112000,USSD,Ibadan
2024-05-26,Adire Fabric,Oke Baale,6,8000,48000,USSD,Sokoto
2024-04-18,Adire Fabric,Alekuwodo,3,8000,24000,USSD,Osogbo
2024-02-24,Lace Material,Oke Baale,3,12000,36000,Transfer,Sokoto
2024-01-13,Aso Oke,Oja Oba,12,15000,180000,POS,Ibadan
2024-05-19,Adire Fabric,Orisumbare,7,8000,56000,POS,Osogbo
2024-03-20,Ankara,Alekuwodo,5,5000,25000,Cash,Lagos
2024-02-21,Lace Material,Oja Oba,9,12000,108000,Transfer,Osogbo
2024-02-18,Adire Gown,Orisumbare,8,25000,200000,POS,Osogbo
2024-05-14,Ankara,Orisumbare,5,5000,25000,POS,Ibadan
2024-06-26,Adire Gown,Alekuwodo,1,25000,25000,POS,Sokoto
2024-04-15,Adire Gown,Oke Baale,4,25000,100000,POS,Lagos
2024-06-16,Adire Gown,Alekuwodo,12,25000,300000,Cash,Osogbo
2024-06-12,Aso Oke,Oja Oba,7,15000,105000,Transfer,Osogbo
2024-02-17,Lace Material,Oja Oba,14,12000,168000,POS,Sokoto
2024-05-26,Adire Fabric,Oja Oba,3,8000,24000,USSD,Sokoto
2024-02-21,Adire Gown,Oja Oba,6,25000,150000,USSD,Sokoto
2024-05-25,Adire Gown,Orisumbare,15,25000,375000,Transfer,Lagos
2024-04-12,Lace Material,Alekuwodo,5,12000,60000,USSD,Sokoto
2024-01-26,Ankara,Orisumbare,15,5000,75000,POS,Lagos
2024-06-12,Adire Fabric,Oke Baale,5,8000,40000,POS,Sokoto
2024-02-25,Aso Oke,Oke Baale,12,15000,180000,Cash,Ibadan
2024-08-13,Lace Material,Orisumbare,5,12000,60000,USSD,Osogbo
2024-04-14,Lace Material,Oja Oba,2,12000,24000,USSD,Ibadan
2024-07-26,Aso Oke,Oja Oba,6,15000,90000,Transfer,Sokoto
2024-04-25,Lace Material,Oja Oba,13,12000,156000,Transfer,Osogbo
2024-06-27,Aso Oke,Alekuwodo,13,15000,195000,USSD,Sokoto
2024-02-27,Adire Fabric,Alekuwodo,2,8000,16000,Transfer,Sokoto
2024-01-27,Adire Fabric,Oke Baale,6,8000,48000,POS,Sokoto
2024-02-26,Aso Oke,Oja Oba,5,15000,75000,Transfer,Osogbo
